reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,cleaned_review,emotion_rule,emotion_pred
A1P3ACSVXZ1JUM,B00C0ZKI9Q,LO127,"[0, 0]","iBOLT xProDock Active Car Dock/Holder/Mount for Samsung Galaxy S3, S4 & Note 2 fits my  galaxy S4 perfectly. I had to reverse where the charging cable went so that I was not hiding the volume button but other then that it was good. It is very sturdy and works as good as the Motorola Nav Dock I had for my Droid Razr. The view from the camera is unobstructed. The software that you down load works OK. I was used to Motorola Drive app but this has just as much functionality. You can program it to toggle Bluetooth and all that.",5.0,Fits perfectly,1372032000,"06 24, 2013",ibolt xprodock active car dockholdermount for samsung galaxy s s  note  fits my  galaxy s perfectly i had to reverse where the charging cable went so that i was not hiding the volume button but other then that it was good it is very sturdy and works as good as the motorola nav dock i had for my droid razr the view from the camera is unobstructed the software that you down load works ok i was used to motorola drive app but this has just as much functionality you can program it to toggle bluetooth and all that,joy,joy
A2Z3IZDQUIDRR9,B008FQVO5G,yogitim,"[8, 8]","This pouch is everything that I was looking for. I have an Otter box commuter case around my Samsung S3 and it fits perfectly inside the pouch, as a matter of fact it is really snug, and I like it. The flap's magnets on the other hand are not very strong or as strong as the should be, but nevertheless the flap does stay closed.Overall a very good product at a very good price.",5.0,Great Pouch!,1361577600,"02 23, 2013",this pouch is everything that i was looking for i have an otter box commuter case around my samsung s and it fits perfectly inside the pouch as a matter of fact it is really snug and i like it the flaps magnets on the other hand are not very strong or as strong as the should be but nevertheless the flap does stay closedoverall a very good product at a very good price,joy,joy
A3EOVXI1VZIHUQ,B003Y74AZ2,"Z. Freeman ""Zach""","[1, 2]","First of all - the case I had on my iPhone 4 previously was one of the free ones they give you to alleviate the signal loss issue. I like this one much more. It's a little bit thicker, though not too thick to slide in and out of my pocket. It's a little loose around the sides which can be a bit annoying since it puffs out slightly on either side making it seem like the phone doesn't quite fit snugly enough, but I haven't had any problems with the case slipping off the phone. I mostly like the design - the cutout in the back allows the Apple symbol to show through, which I appreciate, but the hole on the side of the volume buttons is a bit too big. The case I previously had covered those buttons but labeled them on the outside of the case and let you push the buttons through the case. I feel like exposing the buttons exposes the phone unnecessarily. Everything else is fine and I like the neutral black color and the circular design, though I wouldn't mind if ""amazon basics"" weren't embedded in the bottom of the back of the case. I think it would look nicer with no label.",3.0,An average iPhone case - nothing fancy,1296604800,"02 2, 2011",first of all  the case i had on my iphone  previously was one of the free ones they give you to alleviate the signal loss issue i like this one much more its a little bit thicker though not too thick to slide in and out of my pocket its a little loose around the sides which can be a bit annoying since it puffs out slightly on either side making it seem like the phone doesnt quite fit snugly enough but i havent had any problems with the case slipping off the phone i mostly like the design  the cutout in the back allows the apple symbol to show through which i appreciate but the hole on the side of the volume buttons is a bit too big the case i previously had covered those buttons but labeled them on the outside of the case and let you push the buttons through the case i feel like exposing the buttons exposes the phone unnecessarily everything else is fine and i like the neutral black color and the circular design though i wouldnt mind if amazon basics werent embedded in the bottom of the back of the case i think it would look nicer with no label,joy,joy
AWU526GBZ64MH,B007ZL0TJ4,Bree,"[0, 0]",I ordered this case because I had the same case for my HTC Inspire and that case lasted 3 years with absolutely no issues. It outlasted the phone! This is Otterbox quality without the bulk and at a better price.,5.0,Great Case,1379635200,"09 20, 2013",i ordered this case because i had the same case for my htc inspire and that case lasted  years with absolutely no issues it outlasted the phone this is otterbox quality without the bulk and at a better price,joy,joy
A3F7F7QKQP2FKT,B005VNK7T0,Beanie,"[0, 0]",Bought a few of these as gifts. They were a big hit.  They loved the choice of colors. Made their devices more personalized. Easy to apply. Could not beat the price.,5.0,Cute,1371859200,"06 22, 2013",bought a few of these as gifts they were a big hit  they loved the choice of colors made their devices more personalized easy to apply could not beat the price,joy,joy
A215Z2JH5DRTWR,B005GTR0R6,RobSegura82,"[1, 1]","This is a must have for any wanna be photographer! I love the micro lens, it takes such great detailed pictures. The fish lens is nice too. Just make sure you buy the right one. If you have a 4s make sure this is for the 4s because the metal piece only fits the 4s, not the4.",5.0,Make great pictures,1334966400,"04 21, 2012",this is a must have for any wanna be photographer i love the micro lens it takes such great detailed pictures the fish lens is nice too just make sure you buy the right one if you have a s make sure this is for the s because the metal piece only fits the s not the,joy,joy
A10AG9LEQ0CN47,B008THNXMI,Giorgi,"[0, 0]","thanks. I think this is the best choise what I see, OTG Adapter Dongle Cable 30Pin To Female USB Samsung Galaxy Tab...",5.0,Adapter,1372809600,"07 3, 2013",thanks i think this is the best choise what i see otg adapter dongle cable pin to female usb samsung galaxy tab,joy,joy
AUVGC0YCNZA49,B004ZLV5UE,Jodi H Grant,"[0, 0]","Works great and at a great price, I love Apple and cant wait to upgrademy phone to a 5.",5.0,Love it,1403136000,"06 19, 2014",works great and at a great price i love apple and cant wait to upgrademy phone to a ,joy,joy
A4TU4M76Y09AR,B006DO73HK,Andy B,"[5, 6]","Fits well on the Atrix 2.  Atrix 2 has some complicated beveled glass, so these guys gut the cover short to compensate - well done. Application was very easy, no bubbles and stays on the phone.  Been on the phone for about 6 weeks, in pocket the screen guard does show a little wear (minor scratching) but nothing too unsightly.  I would buy again, nice price for 5 laser gut screen protectors.",4.0,"Fits well, works well.",1328486400,"02 6, 2012",fits well on the atrix   atrix  has some complicated beveled glass so these guys gut the cover short to compensate  well done application was very easy no bubbles and stays on the phone  been on the phone for about  weeks in pocket the screen guard does show a little wear minor scratching but nothing too unsightly  i would buy again nice price for  laser gut screen protectors,joy,joy
AZ4VBPITCHOUH,B002VZPC14,Belem Rangel,"[0, 0]","Long cable permits charging your device from a long distance. I had purchased this product before and unfortunately it broke, but I was lucky to find the exact same one!",5.0,great product,1387756800,"12 23, 2013",long cable permits charging your device from a long distance i had purchased this product before and unfortunately it broke but i was lucky to find the exact same one,joy,joy
